algorithm,total_profit,average_daily_profit,pct_of_upper,n_runs,rank
ewf,3539461.6666666665,114176.18279569891,88.15749382097987,3,1
ucb,2865105.0,92422.74193548386,71.36126906322153,3,2
epsilon_greedy,2862553.6666666665,92340.44086021505,71.29772291588313,3,3
gradient,2512929.0,81062.2258064516,62.5896092833499,3,4
