algorithm,search_method,params,total_profit,average_daily_profit,pct_of_upper,rank
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00013894954943731373, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3659834.0,118059.16129032258,91.15561167940662,26
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 3.727593720314938e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3659622.0,118052.32258064517,91.15033138809395,27
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 7.906043210907701e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3658223.0,118007.19354838709,91.11548644683718,28
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0007543120063354615, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3658087.0,118002.80645161291,91.11209909014603,29
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00013894954943731373, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3657834.0,117994.64516129032,91.10579761041912,30
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 7.906043210907701e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3657223.0,117974.93548387097,91.09057941234343,31
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 6.55128556859551e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3656496.0,117951.48387096774,91.07247199826647,32
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.000244205309454865, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3655817.0,117929.58064516129,91.05556012184522,33
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00011513953993264469, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3655124.0,117907.2258064516,91.03829954694103,34
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 9.540954763499944e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3654922.0,117900.70967741935,91.03326832597331,35
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00035564803062231287, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3653836.0,117865.67741935483,91.00621928651309,36
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00011513953993264469, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3653834.0,117865.6129032258,91.0061694724441,37
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0006250551925273969, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3653087.0,117841.51612903226,90.98756391767728,38
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00016768329368110067, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3650682.0,117763.93548387097,90.9276624997198,39
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00029470517025518097, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3650159.0,117747.06451612903,90.91463612067956,40
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00042919342601287783, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3650121.0,117745.83870967742,90.9136896533688,41
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0009102981779915217, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3650087.0,117744.74193548386,90.91284281419601,42
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00035564803062231287, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3649449.0,117724.16129032258,90.896952126189,43
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00035564803062231287, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3649159.0,117714.80645161291,90.88972908618581,44
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 6.55128556859551e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3648496.0,117693.41935483871,90.87321572231646,45
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00029470517025518097, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3648159.0,117682.54838709677,90.86482205169206,46
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 9.540954763499944e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3647922.0,117674.90322580645,90.85891908451704,47
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 5.4286754393238594e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3647528.0,117662.19354838709,90.8491057129265,48
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 6.55128556859551e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3642940.0,117514.19354838709,90.73483223866917,49
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0010985411419875584, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3641267.0,117460.2258064516,90.69316276996112,50
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 9.540954763499944e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3640922.0,117449.09677419355,90.68456984306079,51
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0009102981779915217, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3640351.0,117430.67741935483,90.67034792636484,52
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 4.498432668969444e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3639716.0,117410.19354838709,90.65453195946131,53
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 4.498432668969444e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3639716.0,117410.19354838709,90.65453195946131,53
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00016768329368110067, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3639682.0,117409.09677419355,90.65368512028851,55
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 4.498432668969444e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3639534.0,117404.32258064517,90.64999887918344,56
