algorithm,search_method,params,total_profit,average_daily_profit,pct_of_upper,rank
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 0.0006250551925273969, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3653087.0,117841.51612903226,90.98756391767728,26
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 0.0006250551925273969, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3653087.0,117841.51612903226,90.98756391767728,26
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 0.00042919342601287783, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3650121.0,117745.83870967742,90.9136896533688,28
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 0.0009102981779915217, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3650087.0,117744.74193548386,90.91284281419601,29
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 0.0009102981779915217, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3650087.0,117744.74193548386,90.91284281419601,29
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 0.0009102981779915217, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3650087.0,117744.74193548386,90.91284281419601,29
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 6.55128556859551e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3648496.0,117693.41935483871,90.87321572231646,32
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 9.540954763499944e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3647922.0,117674.90322580645,90.85891908451704,33
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 9.540954763499944e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3647922.0,117674.90322580645,90.85891908451704,33
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 5.4286754393238594e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3647528.0,117662.19354838709,90.8491057129265,35
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 5.4286754393238594e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3647528.0,117662.19354838709,90.8491057129265,35
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 5.4286754393238594e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3647528.0,117662.19354838709,90.8491057129265,35
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 6.55128556859551e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3642940.0,117514.19354838709,90.73483223866917,38
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 0.0009102981779915217, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3640351.0,117430.67741935483,90.67034792636484,39
