algorithm,search_method,params,total_profit,average_daily_profit,pct_of_upper,rank
gradient,grid,"{""alpha"": 3.6306337928445718, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 3.1089553618622863, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 0.4832801721026124, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 2.2797045620951937, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 5.782109645659658, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 2.6622358501432166, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 20.000000000000004, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 0.30345556064724316, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 0.25985264452188206, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 0.2225149432786609, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 0.35437498608938817, ""reward_scale"": 10000.0, ""use_baseline"": false}",3347580.0,107986.45161290323,83.37829053059455,23
gradient,grid,"{""alpha"": 0.19054222085523648, ""reward_scale"": 10000.0, ""use_baseline"": false}",3340580.0,107760.64516129032,83.2039412891383,53
gradient,grid,"{""alpha"": 0.35437498608938817, ""reward_scale"": 10000.0, ""use_baseline"": true}",3333865.0,107544.03225806452,83.03669055251275,54
gradient,grid,"{""alpha"": 0.30345556064724316, ""reward_scale"": 10000.0, ""use_baseline"": true}",3317662.0,107021.35483870968,82.63312187261049,55
gradient,grid,"{""alpha"": 0.5643739198611264, ""reward_scale"": 10000.0, ""use_baseline"": true}",3316666.0,106989.2258064516,82.60831446625471,56
gradient,grid,"{""alpha"": 0.11964301412374054, ""reward_scale"": 10000.0, ""use_baseline"": false}",3314250.0,106911.29032258065,82.5481390709178,57
gradient,grid,"{""alpha"": 0.13971894723352868, ""reward_scale"": 10000.0, ""use_baseline"": false}",3311250.0,106814.51612903226,82.47341796743655,58
gradient,grid,"{""alpha"": 0.10245175126239792, ""reward_scale"": 10000.0, ""use_baseline"": false}",3234380.0,104334.83870967742,80.55881422590183,59
gradient,grid,"{""alpha"": 0.4138386210422373, ""reward_scale"": 10000.0, ""use_baseline"": true}",3176748.0,102475.74193548386,79.1233720139579,60
gradient,grid,"{""alpha"": 0.08773066621237416, ""reward_scale"": 10000.0, ""use_baseline"": false}",3165050.0,102098.3870967742,78.83200952444999,61
gradient,grid,"{""alpha"": 0.25985264452188206, ""reward_scale"": 10000.0, ""use_baseline"": true}",3146068.0,101486.06451612903,78.35922419568959,62
gradient,grid,"{""alpha"": 0.4832801721026124, ""reward_scale"": 10000.0, ""use_baseline"": true}",3137903.0,101222.67741935483,78.1558582590481,63
gradient,grid,"{""alpha"": 0.07512482411700717, ""reward_scale"": 10000.0, ""use_baseline"": false}",3126864.0,100866.58064516129,77.88090950527157,64
